iterations,test-MultiClass-mean,test-MultiClass-std,train-MultiClass-mean,train-MultiClass-std
190,1.2592142435740374,0.004845976887803738,1.2338227981313001,0.00418505811773086
191,1.2588412324806628,0.004937241497804855,1.233265138509882,0.004208613669096979
192,1.2584450842440384,0.004880151289684969,1.2327209874101799,0.004143988775226369
193,1.2580010062626938,0.00491354050243688,1.2321327501154395,0.004176454048880984
194,1.2575170070602835,0.004909592763163941,1.231529718659035,0.00421197421408877
195,1.2570974551997947,0.005065926350412198,1.2308906547537979,0.004250453936836174
196,1.2567053747239723,0.004996916674406216,1.2302552459694098,0.004181054645840309
197,1.256202634213219,0.005015414118624511,1.2296486234824184,0.004170907384452452
198,1.2558096459921255,0.0050683782426022795,1.22901563240525,0.004171281357412094
199,1.2554044317534234,0.00512509653863946,1.2284063313347833,0.00412299360168134
200,1.2550316498257599,0.005132788928315239,1.2278469027089483,0.004071055214298774
201,1.254500880552284,0.005053975256474321,1.227202339813179,0.0041194070985568826
202,1.2539787666756839,0.004999729496726633,1.2265428627935904,0.004093609285477562
203,1.2535383731031426,0.005013690490354979,1.225960430032968,0.0040629998187281455
204,1.2531040411991197,0.0049868189008192634,1.2253781331090874,0.004015205931350422
205,1.252583309164504,0.005007090051638356,1.2247619842667237,0.00404219933510794
206,1.2521685300762435,0.005072171321043238,1.2241851694359198,0.00408821103388167
207,1.2517308075902767,0.0050239822906734495,1.223599643327526,0.0041351444814316
208,1.2514431169638305,0.0050420393282947715,1.223076515887049,0.0040942504741182705
209,1.251011500685791,0.004958242761468416,1.22248105145798,0.004084991696386832
210,1.2507435648688872,0.004860005559810754,1.2219206691200035,0.004070073646359658
211,1.2503537869997108,0.004836699334549977,1.221324476899818,0.0040291966738709465
212,1.2500067599917675,0.004762022357806722,1.2208232930485063,0.003988524735273314
213,1.2495834401367667,0.004702184297218108,1.2201473256596458,0.0038747714789280083
214,1.249183808278906,0.004668738608099079,1.2195405625330293,0.003885901829330572
215,1.2487598298995064,0.0046291269060795,1.2190145234582506,0.003804136091786953
216,1.2485081235850575,0.00458365725541442,1.2185103701511957,0.0037839356684135667
217,1.2480468270907017,0.004537463827593022,1.217914903998287,0.0036216609014926913
218,1.2475454244027404,0.004526400490655721,1.2173356571902714,0.00358099954282466
219,1.2469918372227689,0.004450924714538425,1.2167092930330097,0.0034981554705915195
220,1.2466760000799395,0.0043719001447932735,1.2161828365083127,0.0034950788180473933
221,1.246245834389904,0.004322332945409141,1.2155712452775884,0.0033492658764765187
222,1.2458825185965616,0.004580163091495254,1.2150664207832536,0.003370175601792611
223,1.2454264667593002,0.004613778296048014,1.2144711077503678,0.0033122750933719815
224,1.2450304163447008,0.004502169878784274,1.213978336890291,0.0032734772081496116
225,1.244601819276827,0.0046101036025262285,1.213364385281452,0.003201150198097066
226,1.2443065886214126,0.004565707167582129,1.2128218179419674,0.003213889938062877
227,1.2439702362688545,0.0045407230694030475,1.2122849725172613,0.003208728892907032
228,1.2436371835408566,0.004526361320334446,1.2117841902155306,0.0032331466103083864
229,1.2432802172129578,0.004419734676574501,1.2111482060314025,0.003241703492935924
230,1.2428810463186386,0.004261701226652511,1.210564905462721,0.0031594641971161687
231,1.2424027462757607,0.004141356640168373,1.2099801677360515,0.0031478564419300053
232,1.241998823246013,0.004119974134815045,1.2094037361891044,0.0031363305342687253
233,1.2415907765174894,0.004085044352609401,1.2088306238568376,0.003028322766819016
234,1.241270980964754,0.004153335582046443,1.2083634969618469,0.003036769947354719
235,1.2408487588351365,0.004097112775035048,1.2077867830256233,0.003037137203144376
236,1.2405313643551472,0.004023767909339412,1.2071881261678041,0.0030119323851694013
237,1.2402035107938745,0.004006044026673776,1.2066292020303275,0.0030037117169151857
238,1.2399162881953638,0.00407416181425765,1.2062087473441008,0.0029875403827430667
239,1.2394987763042984,0.004069822040194544,1.205586828098736,0.002995384872792276
240,1.2391056711946635,0.004012531128990626,1.2050954204797706,0.003022670125570018
241,1.238729129745472,0.003993352190533993,1.2045582363241525,0.0029715124482865003
242,1.2382110556171244,0.0038645353988692446,1.204006170303315,0.002953140055107413
243,1.2377867373780904,0.003821358215772245,1.2034046229454418,0.002970330958634173
244,1.2375871889305403,0.0038566851635629734,1.2029170006251377,0.002958989174520615
245,1.237254921498166,0.004048450970498102,1.2023478761846242,0.0029653810808204237
